"Category","Name","Description","Value ","Default Value"
Mechanism,move_mechanism_in_nongeom_reps,Allow mechanism operations in non geometrical representations.,"yes, no, exclude_to_move",yes
Without category,mp_analysis_default_source,Specifies the default source for mass properties calculation via Analysis.,"geometry, assigned, mp_source",
Environment,mp_auto_update_precreo_models,no - Creo does not recalculate the mass properties of legacy parts upon retrieval of a model.  yes - Creo recalculates mass properties of legacy parts upon retrieval of a model except for legacy parts with no assigned density.,"yes, no",no
Without category,mp_calc_level,Specifies the level of mass properties calculation.,"assembly_only, all_models",assembly_only
Assembly,mp_dens_ft_column_mtrl_assigned,Yes - Allows adding an MP_DENSITY column in FT when a material is assigned to a model. When set may cause the same material to have different values for the Density parameter in different instances. Does not affect legacy models.,"yes, no",no
User Interface,msg_translation,Specifies language in which Messages are displayed when running non-English version of Creo Parametric.,"yes, no",yes
Without category,msr_regen_special_refs,Force special reference regeneration for some types of analyses,"yes, no",yes
Assembly,mtrl_convert_units,"If set to ""Yes"" Creo Parametric will automatically convert units in materials from a library to the model system of units.","yes, no",yes
Without category,multiple_skeletons_allowed,Allows/restricts multiple skeleton.,"yes, no",no
User Interface,native_kbd_macros,"Specifies support of keyboard macros written in native language (for example, German).","yes, no",no
Manufacturing,nc_autodoc_param_dir,Location of the setup file that describes which process parameters are included in the parameter table.,,
Manufacturing,nc_autodoc_report_dir,Location for storing the report and images generated by the shop floor documentation tool.,,
Manufacturing,nc_autodoc_setup_dir,Location for documentation setup files that describe which process parameters are included in the parameter table.,,
Manufacturing,nc_autodoc_template_dir,Location of the style sheet and default images used for shop floor documentation.,,
Manufacturing,nc_jobman_visible,"Yes - make ""Submit Path"" and ""Abort Path"" visible. No - make ""Submit Path"" and ""Abort Path""  invisible.","yes, no",no
Manufacturing,nccheck_type,Vericut will be used for NC material removal simulation.,"vericut, nccheck",vericut
Manufacturing,ncl_file_extension,"Sets the default file extension for Pro/MFG CL data files. Enter the file extension only (without the preceding "".""). For example, apt produces filename.apt.",,ncl
Manufacturing,ncmdl_bar_stock_part_path,"Sets path for storage and retrieval of stock instances for creating workpiece in NC Model. Specify full path, including part name, to avoid problems.",,<creo_loadpoint>\text\ncmdl_data\ncmdl_bar.prt
Manufacturing,ncmdl_billet_stock_part_path,"Sets path for storage and retrieval of stock instances for creating workpiece in NC Model. Specify full path, including part name, to avoid problems.",,<creo_loadpoint>\text\ncmdl_data\ncmdl_billet.prt
Manufacturing,ncpost_type,Set to GPOST to access the default post processor supplied with Pro/NCPOST.,"gpost, ncpost",
Manufacturing,ncseq_outbound_curve,Yes - Create out bound curve.,"yes, no",no
Electromechanical,network_location_override_color,Override the system color of network locations. Enter RGB values between 0 and 255 separated by space.,,
Electromechanical,network_segment_override_color,Override the system color of network segments. Enter RGB values between 0 and 255 separated by space.,,
User Interface,new_parameter_ui,Enable the new parameter editor and user interface.,"yes, no",yes
Without category,new_ref_part_name_disabled,Disallow redirecting data sharing feature missing reference model to a model with different name.,"yes, no",yes
User Interface,new_relation_ui,Enable the new relations editor and user interface.,"yes, no",yes
Manufacturing,new_turn_scan_type,Allows to use New turn scan types for Turning NC sequences.,"yes, no",yes
Without category,new_wf5_simp_rep_ui,"Yes - Use Component Chooser base Simp Rep UI, No - Use old Simp Rep definition UI.","yes, no",yes
Colors,number_user_colors,Specifies the maximum number of different wireframe colors that can display in the graphics area(s) at any given moment.,,-1
Assembly Process,offset_line_def_color,Specifies the color that offset lines are displayed in drawings.,,0.000000 0.000000 0.000000
Assembly Process,offset_line_def_font,Specifies the font in which offset lines are displayed in drawings.,,
Without category,old_style_set_datum,Yes - datum properties dialog has button for old-style set datum. No - datum properties dialog does not have button for old-style set datum.,"yes, no",yes
Drawing,ole_unlimit_zoom,Yes - The OLE object is displayed in any zoom level (could result in performance degradation). No - The OLE object disappears in high zoom-in levels.,"yes, no",no
User Interface,online_resources_location,Specify your own URL for the Online Resources button in the help menu.,,
Without category,open_builder_in_mt_mode,Open the variant builder in Model Tree Selection mode,"yes, no",no
File Storage & Retrieval,open_draw_simp_rep_by_default,"Set to ""Yes"" to always invoke the open rep dialog when opening a drawing.","yes, no",no
File Storage & Retrieval,open_simplified_rep_by_default,Retrieves a model in a specified representation. Yes - uses Open Rep dialog. No - retrieves the Master representation. Specified Name - retrieves the model in the specified representation name if it exists or the Default representation.,,no
User Interface,open_window_maximized,"Open any new Creo Parametric window maximized by default. This config will override ""reserve_menu_space"" option.","yes, no",no
Model Display,orientation,Establishes the initial standard view orientation. User_default - System uses X-axis and Y-axis values defined by options x_axis and y_axis.,"isometric, trimetric, user_default",trimetric
Without category,orientation_style,Set spin orientation style to dynamic or anchored.,"anchored, dynamic",dynamic
Electromechanical,orthogonal_snap,Controls non-90 degree routing in Pro/DIAGRAM. Yes - Turns the Ortho Snap function on. You can sketch wires only at the default horizontal and vertical orientation. No - Enables you to sketch wires in drawings at angles other than the default.,"yes, no",yes
Manufacturing,output_mfg_xml,Allows export/import mfg model to/from xml file. Yes  - make Export/Import options visible. No - make them invisible.,"yes, no",no
System,overlays_enabled,Yes - Enables Creo Parametric screens and menus to be placed on different overlay layers of the hardware graphics card. This frees memory for Creo Parametric use.,"yes, no",no
File Storage & Retrieval,override_store_back,Forces the storage of objects retrieved from other directories to the current working directory.,"yes, no",no
Assembly,package_constraints,Action to take for packaged components in Assembly mode. Update - Updates components if assembly changes. Freeze - Does not move components if assembly changes. Disallow - Does not allow packaged components in assembly (must be fully constrained).,"disallow, freeze, update",update
Assembly,package_ref_alert,Control whether alert dialog is given when packaged component is referenced. Yes - Allow alert when a packaged component is referenced. No -  No Alert is given when a packaged component is referenced.,"yes, no",no
User Interface,param_dec_places,Sets the number of decimal places (0-14) to display in parameters.,,6
User Interface,parameter_dialog_setup_file,Setup for the parameter dialog configuration file.,,
Dimensions & Tolerances,parenthesize_ref_dim,"Encloses reference dimensions in parentheses. No - Follows reference dimensions with the text ""REF"".","yes, no",no
Environment,part_mp_calc_ignore_alt_mp,Yes (default) - Creo uses the calculated mass (mass=volume*density) to calculate part mass properties. No - Creo uses the user-defined value of PRO_MP_ALT_MASS if the value of PRO_MP_SOURCE is Geometry and Parameters or Fully Assigned.,"yes, no",yes
User Interface,part_table_editor,Sets the editor that is used to edit notebook parameter tables. Protab - Use Pro/TABLE. Editor - Use the system editor (refer to pro_editor_command).,"protab, editor, excel",
User Interface,pattern_relations_copy,Determines whether relations of pattern leader are inherited by pattern members.,"yes, no",yes
Data Exchange,pdf_linecap,0 - Butt cap: stroked lines are squared off at the endpoint of the path.  There is no projection beyond the end of the path.,"butt, round, projecting square",butt
Data Exchange,pdf_linejoin,0 - Miter join: outer edges of the strokes for the two segments are extended until they meet at an angle.,"round, miter, bevel",miter
Data Exchange,pdf_use_pentable,No - PDF export does not use any defined pentable changes as would be applied to plotting the drawing.,"yes, no",no
Data Management,pdm_rev,"Specify how the system parameter, PDM_REV, should be formatted. Only useful for objects submitted to Pro/PDM or Pro/INTRALINK.","pdmrev_fmt_rev_ver, pdmrev_fmt_rev, pdmrev_fmt_branch_rev_ver, pdmrev_fmt_branch_rev",pdmrev_fmt_rev_ver
Without category,pdm_server_quickview_rows_num,Sets the default number of rows for the pdm quick view list.,,7
Printing & Plotting,pen1_line_weight,Sets the weight of entities plotted with pens using an electrostatic plotter. The weight is a range from 1 (thinnest) to 16 (thickest).,,4
Printing & Plotting,pen2_line_weight,Sets the weight of entities plotted with pens using an electrostatic plotter. The weight is a range from 1 (thinnest) to 16 (thickest).,,1
Printing & Plotting,pen3_line_weight,Sets the weight of entities plotted with pens using an electrostatic plotter. The weight is a range from 1 (thinnest) to 16 (thickest).,,2
Printing & Plotting,pen4_line_weight,Sets the weight of entities plotted with pens using an electrostatic plotter. The weight is a range from 1 (thinnest) to 16 (thickest).,,3
Printing & Plotting,pen5_line_weight,Sets the weight of entities plotted with pens using an electrostatic plotter. The weight is a range from 1 (thinnest) to 16 (thickest).,,2
Printing & Plotting,pen6_line_weight,Sets the weight of entities plotted with pens using an electrostatic plotter. The weight is a range from 1 (thinnest) to 16 (thickest).,,3
Printing & Plotting,pen7_line_weight,Sets the weight of entities plotted with pens using an electrostatic plotter. The weight is a range from 1 (thinnest) to 16 (thickest).,,1
Printing & Plotting,pen8_line_weight,Sets the weight of entities plotted with pens using an electrostatic plotter. The weight is a range from 1 (thinnest) to 16 (thickest).,,4
Printing & Plotting,pen_slew,Sets the pen speed for both x and y directions for plotters that are compatible with this option. Consult your plotter's user guide for more information.,,-1.000000 0.000000
Printing & Plotting,pen_slew_xy,"Sets the pen speed for the x and y directions individually for plotters that are compatible with this option.  The first value is the x value and the second, the y value. They should be separated by a space.",,-1.000000 0.000000
Printing & Plotting,pen_table_file,Specifies a default pen mapping table which supersedes other pen mapping information.,,table.pnt
Photorender,photorender_capability_warnings,Allows the user to disable warnings about PhotoLux only capabilities.,"yes, no",yes
Photorender,photorender_default_height,Sets the default height (in pixels) for the custom size rendered output,,450
Photorender,photorender_default_width,Sets the default width (in pixels) for the custom size rendered output,,600
Photorender,photorender_memory_usage,"Sets the memory limit that Pro/PHOTORENDER allows for model processing. Do not use commas in the memory value, as Creo Parametric interprets these as decimals. The minimum allowed value is 64 and maximum value is 5120.",,256
Photorender,photorender_preview_scale,"Allows user defined size ratio at which Pro/PHOTORENDER will render, using the default Render To: Full Window Preview setting. Increasing the value creates higher quality rendering with slower performance. Reducing the value produces reverse results.",,0.5
System,pick_aperture_radius,Specifies the size of the area about the mouse when making selections. Units are 1/1000 of screen size.,,7
Drawing,pick_chain_tangent_only,Specifies the extent of draft entity chains selected. Yes - Only entities in the chain that are tangent will be selected. No - All entities connected end to end will be selected.,"yes, no",no
Piping,pipe_3d_bend_theor_int_pts,Yes - Displays theoretical intersections and bends in three-dimensional models.,"yes, no",no
Piping,pipe_bend_locations_csys_units,Define which assembly units will be used for the piping bend locations calculations. Yes - to use coordinate system assembly units. No - to use pipeline assembly units.,"yes, no",no
Piping,pipe_pre_22_bendinfo_conv,Convert bend report information generated prior to Pro/ENGINEER 2000i-2 to current saved analysis format.,"yes, no",yes
Piping,pipe_solid_centerline,Yes - Display Pro/PIPING centerlines. No - Do not display Pro/PIPING centerlines.,"yes, no",yes
Piping,pipe_solid_label_format,Specify the pipe solid label format that will be used to automatically generate pipeline labels.,,"size,-,specification,-,mnemonic,-,number,-,insulation"
Piping,pipe_update_pre_20_int_pts,Yes - Pipelines created prior to Release 20.0 are updated with intersection point entities. The entities are created in session by Info>Regen Info or when you retrieve the model.,"yes, no",no
Piping,pipeline_assembly_library_dir,Sets the default pipeline assembly library directory.,,<creo_loadpoint>\text\piping_data\pipelinelib\
Piping,pipeline_assembly_name_format,Sets the default pipeline assembly name format.,,"mnemonic,-,number"
Piping,pipeline_label_format,Specify the pipeline label format that will be used to automatically generate pipeline labels.,,"size,-,specification,-,mnemonic,-,number,-,insulation"
Piping,pipeline_solid_start_part_name,Sets the default pipeline solid start part name.,,pipeline_solid_start.prt
Piping,pipeline_spool_label_format,Specify the pipeline spool label format that will be used to generate the spool labels during pipeline spool generation.,,mnemonic-number-prefix&#91;0]spoolnum&#91;01]suffix&#91;]
Piping,pipeline_start_assembly_name,Sets the default pipeline start assembly name.,,pipeline_start.asm
Piping,piping_appearance_map_file,Sets the default piping appearance map filename.,,<creo_loadpoint>\text\piping_data\master_catalog\piping_appearance.map
Piping,piping_bolt_nut_select_file,Piping bolts and nuts selection file.,,<creo_loadpoint>\text\piping_data\master_catalog\piping_bolt_nut_select.ptd
Piping,piping_design_method,Sets the current Piping design method for pipeline modeling.,"non_spec_driven, spec_driven, user_driven",non_spec_driven
Piping,piping_enable_designate_report,Enable designatable reports for spec-driven piping.,"yes, no",yes
Piping,piping_end_compatibility_file,Sets the default piping end compatibility filename.,,<creo_loadpoint>\text\piping_data\master_catalog\piping_end_compatibility.ptd
Piping,piping_extend_dim_scheme,Specify a dimension scheme for piping extend segment.,"cartesian, cylindrical, spherical",cartesian
Piping,piping_extend_show_csys,Control whether small preview CSYS is shown at end of pipe when defining extend features in cartesian / spherical / cylindrical schemes.,"yes, no",no
Piping,piping_fitt_angle_tolerance,Sets the default piping fitting angle tolerance value.,,1.5
Piping,piping_fitt_category_map_file,Sets the default piping fitting category map filename.,,<creo_loadpoint>\text\piping_data\sample_project\piping_fitt_category_map.ptd
Piping,piping_fitt_library_dir,Sets the default piping fitting library directory.,,<creo_loadpoint>\text\piping_data\fittinglib\
Piping,piping_fluid_parameter,Enables/disables the Parameters tab in Create Pipeline Dialog,"yes, no",no
Piping,piping_insulation_dir_file,Sets the default piping insulation directory filename.,,<creo_loadpoint>\text\piping_data\sample_project\piping_insulation_dir.ptd
Piping,piping_joint_fitting_clearance,Sets the piping joint minimum fitting clearance value.,,1
Piping,piping_joint_fitting_offset,Sets the piping joint minimum fitting offset value.,,1
Piping,piping_manufacture_dir_file,Sets the default piping manufacture directory filename.,,<creo_loadpoint>\text\piping_data\master_catalog\piping_manufacture_dir.ptd
Piping,piping_material_file,Sets the default piping material filename.,,<creo_loadpoint>\text\piping_data\master_catalog\piping_material.ptd
Piping,piping_material_source,Sets the source for material information. Note Material_dir requires pro_material_dir to be set.,"weight_length, material_dir",weight_length
Piping,piping_mcat_dir,Sets the default piping master catalog directory.,,<creo_loadpoint>\text\piping_data\master_catalog\
Piping,piping_mcat_dir_file,Sets the default piping master catalog directory filename.,,<creo_loadpoint>\text\piping_data\master_catalog\piping_mcat_dir.ptd
Piping,piping_min_bolting_clearance,Sets the default piping minimum bolting clearance value.,,1
Piping,piping_project_data_dir,Sets the default Project data directory.,,<creo_loadpoint>\text\piping_data\sample_project\
Piping,piping_schematic_driven,Set the Schematic Driven Pipeline Modeling ON/OFF,"yes, no",no
Piping,piping_schematic_xml_dir,Specify directory with full path containing schematic information XML file(s).,,<dir_name>\dump_i486_nt\
Piping,piping_spec_dir_file,Sets the default piping specification directory filename.,,<creo_loadpoint>\text\piping_data\sample_project\piping_spec_dir.ptd
Piping,piping_system_tree_format,Sets the default piping model tree format.,,mnemonic
Piping,piping_thumb_wheel_increment,Sets the default piping thumb wheel increment value.,,1
Piping,piping_thumb_wheel_ratio_inc,Sets the default piping thumb wheel ratio increment value.,,0.01
Piping,piping_wildfire_convert,Always ask before converting old piping assemblies to update the network structure.,"never, automatic, manual",manual
Without category,place_comp_use_mate_align_type,Component placement constraint type mate and align will be displayed.,"yes, no",no
File Storage & Retrieval,placement_rep_by_default,Retrieves the assembled component in a specified representation. None - retrieves the representation specified in configuration option open_simplified_rep_by_default.,,none
Printing & Plotting,plot_carberry_extends,"When plotting to a raster format (jpg, tiff, etc), set to YES to ignore the view border and produce output sized to the smallest rectangle that includes the drawing items.","yes, no",no
Printing & Plotting,plot_file_dir,Specifies the directory where plot files should be written. Use the full pathname to avoid problems. For example /home/users/plotfiles.,,
Printing & Plotting,plot_linestyle_scale,Specifies the scaling factor for the DOTFONT line style in a plot.,,1
Printing & Plotting,plot_names,Yes - Plot files are given descriptive extensions when created. No - All plot files are simply given the extension .plt.,"yes, no",
Without category,plot_names_with_sheet,Yes - Plot file names are appended with _(sheet number) before file extension.,"yes, no",no
Printing & Plotting,plot_proceed_dialog,Yes - Enables the Plot Proceed dialog which provides a choice for delaying the printing of plot files. This is useful for large plots when using lp print commands. The lp command may not access the plot file before it is removed resulting in no output.,"yes, no",no
Printing & Plotting,plot_to_scale_full_window,Provides the ability to exclude empty window space when plotting the model to scale.,"yes, no",
Printing & Plotting,plotter,Establishes the default plotter for making plot files.,,
Printing & Plotting,plotter_command,"Sets the command that you use to start a plot on your system; for Windows NT or Windows 95, windows_print_manager option configures Creo Parametric to plot to a recognized device in the Windows NT or Windows 95 print manager.",windows_print_manager,
Printing & Plotting,plotter_handshake,Specifies the type of plotter handshake initialization sequence generated in the plotter files.,"hardware, software",
Without category,popup_refpairintch_window,Bring forward the window being used with the reference pairing table.,"yes, no",no
User Interface,popuphelp_font,"Specify font used in the Creo Parametric pop-up help. Add the comma-delimited variables in any order (italic bold, 24, times or 24, times, italic bold have the same effect). Any omitted variable uses the standard setting.",,
Printing & Plotting,postscript_compression,Specifies whether or not to compress exported shaded PostScript files. Yes - A shaded postscript file created with File>Export will be compressed. This will increase processing time.,"yes, no",no
Drawing,preferred_export_format,Set the default preferred export file type for export from drawings.,"cgm, tiff, iges, dxf, step, pdf, dwg, medusa, stheno",pdf
File Storage & Retrieval,preferred_save_as_type,Allows customizing the order of the Type selections found under File ->Save A Copy.,,
Environment,prehighlight,Yes - Selectable items beneath the pointer are highlighted prior to being selected. No - Selectable items beneath the pointer are not highlighted prior to being selected.,"yes, no",
Environment,prehighlight_tree,"Default value for ""Preselection Highlighting"" option in the model tree, layer tree and detail tree. When enabled, selectable items are highlighted prior to being selected in the tree.","yes, no",no
Assembly,preserve_comp_color_in_preview,"Yes - During component placement, component being assembled will retain its normal colors.  No - During component placement, component being assembled is shown in preview color.","yes, no",no
Assembly Process,prev_proc_comp_def_color,Specify the default color for components added to a process assembly in a previous step.,,0.000000 0.000000 0.000000
Assembly Process,prev_proc_comp_def_font,Specify the default font for previously added components in a process assembly.,,
Without category,prime_analysis_directory,Sets the default directory for the Prime files to be used for Prime analysis calculations. Use the full pathname to avoid problems.,,
Without category,prime_automapping,Toggles Prime analysis automapping of variables,"yes, no",no
Creo Simulate,pro_ansys_path,Specifies path to ANSYS executable.,,
Casting & Mold Design,pro_catalog_dir,"Sets the path to the catalog directory containing the catalog menu and the names of other catalog files, such as ejector pins. For example: pro_catalog_dir proe_loadpoint/apps_data/mold_data/catalog. Use full path name to avoid problems.",,
Casting & Mold Design,pro_cav_lay_rule_dir,Sets the default directory for cavity layout rules. Use the full path name to avoid problems.,,
Electromechanical,pro_cbltrm_dir,Sets the directory from which terminators are retrieved. Use the full pathname to avoid problems.,,
Colors,pro_colormap_path,Specifies the directory path for a color map (.map) file to be loaded from disk. Use the full path name to avoid problems.,,
File Storage & Retrieval,pro_crosshatch_dir,Specifies a default directory for your cross-hatch library in which you can save cross-hatching patterns for later retrieval. Its value is the full path name of the default directory.,,
File Storage & Retrieval,pro_datum_target_dir,Sets the default directory for your user-defined datum target symbols. Use the full pathname to avoid problems.,,<creo_loadpoint>\symbols\targets\
Without category,pro_design_test_mode_dir,"Sets the default directory for the Design Test mode data. If not specified, your current working directory is the default. Use the full pathname to avoid problems.",,
Drawing,pro_dtl_setup_dir,"Sets the directory for the drawing setup files. If this option is not set, the system uses the default setup directory.",,
User Interface,pro_editor_command,Enables use of an editor other than the system editor when the option editor has been specified as the value for the options part_table_editor or relation_file_editor.,,
File Storage & Retrieval,pro_font_dir,Sets the default font directory (Creo Parametric will load all fonts in this directory into the drawing regardless of the contents of the system and working directories).,,<creo_loadpoint>\text\fonts\
Drawing,pro_format_dir,Sets the default directory for the drawing format library. Use the full pathname to avoid problems.,,
Data Exchange,pro_gplug_dir,Specifies the directory in which Granite application plug-ins are located. Use the full pathname to avoid problems.,,<creo_loadpoint>\i486_nt\gplugs\
Features,pro_group_dir,"Sets the default directory for the user-defined feature (UDF) library. If not specified, your current working directory is the default. Use the full pathname to avoid problems.",,
Piping,pro_insulation_dir,Specifies the directory to search for insulation files used in Pro/PIPING. Use full path name to avoid problems.,,
File Storage & Retrieval,pro_library_dir,Sets the default directory for the Creo Parametric libraries (or any libraries you have built containing the proper index menu files). Use the full pathname to avoid problems.,,
File Storage & Retrieval,pro_material_dir,Sets the default directory for the part material library. Use the full pathname to avoid problems.,,
Manufacturing,pro_mdb_dir,Sets the default directory for the Machinability Database (MDB) files. Use the full pathname to avoid problems.,,
Manufacturing,pro_mf_cl_dir,Sets the default directory for the manufacturing CL data files.Use the full pathname to avoid problems.,,
Manufacturing,pro_mf_clamp_dir,Specifies the directory where the manufacturing clamps can be found.,,
Manufacturing,pro_mf_param_dir,Sets the default directory for the manufacturing parameter files. Use the full pathname to avoid problems.,,
Manufacturing,pro_mf_tape_dir,Sets the default directory for the manufacturing TAPE data files.Use the full pathname to avoid problems.,,
Manufacturing,pro_mf_tprm_dir,Sets the default directory for the manufacturing tool files. Use the full pathname to avoid problems.,,
Manufacturing,pro_mf_workcell_dir,Sets the default directory for the manufacturing workcell files. Use the full pathname to avoid problems.,,
Manufacturing,pro_mfg_cmdsyn_dir,Sets the default directory for the syntax menu files in Pro/MFG. Use the full pathname to avoid problems.,,
Creo Simulate,pro_nastran_path,Specifies the path to the MSC/NASTRAN executable (nastran).,,
Creo Simulate,pro_nei_nastran_path,Specifies the path to the NEi Nastran executable.,,
Drawing,pro_note_dir,Specifies the directory from which to retrieve notes entered from a file. Use the full path name to avoid problems.,,<dir_name>\dump_i486_nt\
Drawing,pro_palette_dir,Sets the default directory for drawing symbol palette files.,,<creo_loadpoint>\symbols\palette\
Piping,pro_pip_fitt_dir,Specifies the directory to search for fittings used in Pro/PIPING.,,
Piping,pro_pip_lnstk_dir,Specifies the directory to search for linestock files used in Pro/PIPING. Use full path name to avoid problems.,,
Printing & Plotting,pro_plot_config_dir,Sets the directory of your user-defined plotter configuration file. Use the full pathname to avoid problems.,,
Sheetmetal,pro_sheet_met_dir,"Sets the default directory of your user-defined bend tables. If not set, the Pro/SHEETMETAL supplied bend tables are used. Use the full path name to avoid problems.",,
Sheetmetal,pro_smt_params_dir,Specifies the directory to save/retrieve Sheet metal parameters files.  Use full path name to avoid problems.,,
Creo Simulate,pro_solver_name,Specifies the name of the user-defined solver to be included in the SOLVE menu. See also pro_solver_path.,,
Creo Simulate,pro_solver_path,Specifies the path to the user-defined solver whose name is defined in the SOLVE menu. See also pro_solver_name,,
Electromechanical,pro_spool_dir,Sets the directory from which spools are retrieved. Use the full pathname to avoid problems.,,<dir_name>\dump_i486_nt\
Data Exchange,pro_stheno_command,Specifies the command for Stheno launch.,,
File Storage & Retrieval,pro_surface_finish_dir,Sets the default directory for your user-defined surface finish symbols. Use the full pathname to avoid problems.,,<creo_loadpoint>\symbols\surffins\
Drawing,pro_symbol_dir,"Set and automatically create the default directory for saving and retrieving user-defined symbols. If you do not specify a directory, the system uses the current working directory. Use full path name to avoid problems.",,<dir_name>\dump_i486_nt\
Drawing,pro_table_dir,Specifies the directory to be used when tables are retrieved or saved. Use the full path name to avoid problems.,,
Photorender,pro_texture_library,Allows the user to specify a different graphics library.,,
Environment,pro_unit_length,Sets the default units for new objects.,"unit_inch, unit_foot, unit_mm, unit_cm, unit_m",unit_inch
Environment,pro_unit_mass,Sets the default units for mass for new objects.,"unit_ounce, unit_pound, unit_ton, unit_gram, unit_kilogram, unit_tonne",unit_pound
Environment,pro_unit_sys,Specifies the default system of units for new models.,"mks, cgs, mmns, fps, ips, proe_def, mmks",
Weld,pro_weld_params_dir,Specifies the directory to search when a weld parameter file is needed.,,
Application Programming Interfaces,prodevdat,Specify the full path to an additional Toolkit registry file.,,
Environment,proe_memory_buffer_size,Specify the size in megabytes of the memory buffer to be reserved by Creo Parametric for system out of memory condition. You must restart Creo Parametric for the change to take effect.,,50
Manufacturing,profile_output_utils,Affects CL-Data output for profile milling sequences. Yes - Sequence parameter output_point is available with options: tip - Toolpath is output with respect to the tool center; on_profile - Toolpath is output with respect to the profile of the tool.,"yes, no",no
File Storage & Retrieval,prompt_on_erase_not_disp,Specifies whether or not to display a prompt allowing you to save your undisplayed objects. This option is used in conjunction with the Erase > Not Displayed command on the File menu.,"yes, no",no
User Interface,prompt_on_exit,Determines if you are prompted to save objects when exiting a Creo Parametric session.,"yes, no",no
Manufacturing,proncpost_dbf,Enter directory path to NCPost database file.,,
Without category,propagate_by_default,"Yes - If the modified geometry belongs to a geometry pattern, a pattern recognition feature or a symmetry recognition feature, the modification is automatically propagated to all pattern/symmetry members.","yes, no",no
File Storage & Retrieval,propagate_change_to_parents,"When saving objects with option save_objects set to Changed or Changed_and_specified, Creo Parametric verifies which models are. Yes - Any model that is a parent of a changed model is considered to be a changed model when determining what to save.","yes, no",no
User Interface,propagate_inactive_annotation,Yes - causes the propagation of inactive annotation.,"yes, no",yes
Manufacturing,prorembatch_queue_manager,"Enables toolpath computation on a separate host machine. Required values are Processor name, Remote machine's hostname, Type of transport (always 0), RPC processor number (same as that of remote processor), Version of queue manager.",,
System,protable_in_background,Yes - Starts Pro/TABLE editor in the background. Reduces time between pressing a menu button that uses Pro/TABLE and entering the data.,"yes, no",yes
Application Programming Interfaces,protkdat,Specify the full path to an additional Toolkit registry file.,,
User Interface,provide_pick_message_always,No - A message describing the (pre)selected item is provided only while querying. Yes - A message describing the selected item is provided in all cases (i.e. even when Query is not used).,"yes, no",no
Printing & Plotting,ps_output_with_pagesize,Specifies whether or not to include pagesize information when generating postscript files from Creo Parametric. No - Creo Parametric will omit Adobe level 2 pagesize information from the header of the postscript file.,"yes, no",yes
Without category,ptc_manikin_comforts_path,Sets the default directory for the Creo Parametric manikin comfort angles.  You must restart Creo Parametric for the change to take effect.,,
Without category,ptc_manikin_library_path,Sets the default directory for the Creo Parametric manikin library (or custom manikin libraries you built containing the proper index menu files). Use the full path name to avoid problems.  You must restart Creo Parametric for the change to take effect.,,<creo_loadpoint>\manikin_lite\
Without category,ptc_manikin_posture_path,Sets the default directory for the Creo Parametric manikin postures (or custom posture libraries you built). Use the full path name to avoid problems.  You must restart Creo Parametric for the change to take effect.,,
Sheetmetal,punch_axis_points,Yes - Enables the creation of punch axis points in Sheetmetal cuts and punches.,"yes, no",no
Sheetmetal,punch_models_directory,Sets path to directory that contains the punch models.,,
Data Exchange,put_iges_drawing_entity,"Specifies whether or not to suppress the output of the IGES drawing entity, #404, to the IGES file. No - The drawing entity is not output.","yes, no",yes
Without category,qty_balloon_change_warning,"Sets the warning style when quantity balloons have changed in a drawing.  Dialog displays the warning in a dialog box, Message displays the warning in the message area only.","dialog, message",dialog
Without category,quick_print_drawing_template,Specify the path and name of a drawing template to be used by the File > Quick Print command.,,
Without category,quick_print_plotter_config_file,Specify the path and name of the default plotter config file to be used by the File > Quick Drawing command.,,
Without category,radial_hole_linear_dim,YES - Option for creation of radial hole with a linear dimension will be available.,"yes, no",no
Printing & Plotting,raster_plot_dpi,Determines the resolution for plotter outputs variables are in dots per inch.,"100, 200, 300, 400",100
Features,ratio_grid_interval,Modify grid space in percentage units for handle movement.,,0.05
File Storage & Retrieval,read_famtab_file_on_retrieve,No - Ignores filename.ptd. Yes - Creates and saves filename.ptd and uses that file when retrieving the generic.,"yes, no",no
Data Management,read_parameters_of_excluded,Allow Creo Parametric designated parameters on excluded objects in Simplified Representation to be visible in Model Tree columns.,"yes, no, common_name_only",no
Model Display,real_time_rendering_display,Set the realtime rendering to project shadows/reflections on a transparent floor.,"transparent_floor, room_display",transparent_floor
Without category,record_mapkey_comment_to_trail,Controls whether a comment is written to the trail file whenever a mapkey is executed.,"yes, no",yes
Reference Control,ref_scope_copy_color,Set the color of backed up references according to RGB values. Enter RGB values between 0 and 100 separated by space.,,55.000000 55.000000 55.000000
Reference Control,ref_scope_copy_color_change,Enable changing colors of backuped references during selection.,"yes, no",yes
Reference Control,ref_scope_no_pick_to_copy,Disable selecting references backuped by references control.,"yes, no",no
Reference Control,ref_scope_no_pick_to_prohibit,Disable selecting references prohibited by references control.,"yes, no",yes
Reference Control,ref_scope_prohibit_color,Set the color of prohibited references according to RGB values. Enter RGB values between 0 and 100 separated by space.,,45.000000 45.000000 45.000000
Reference Control,ref_scope_prohibit_color_change,Enable changing colors of prohibited references during selection.,"yes, no",yes
Colors,reflection_analysis_display,Black and White displays reflection as black and white stripes. Surface color - uses the surface color to represent reflection stripes.,"black and white, surface color",black and white
Environment,regen_backup_directory,"Specifies the directory in which the system stores regen_backup models. (See regen_backup_using_disk.) The primary default is the current directory, but if that directory is read-only, the secondary default is the /tmp directory.",,
